result,no.,file,lambda,heuristic,generalization,time (T/O=10)
?,0,benchmarks_included/brp_small.pm,0.1,Cs,None,T/O
?,1,benchmarks_included/brp_small.pm,0.1,Cs,linear_generalization,T/O
?,2,benchmarks_included/brp_small.pm,0.1,Cs,binary_generalization,T/O
?,3,benchmarks_included/brp_small.pm,0.1,Cs,exponential_generalization,T/O
?,4,benchmarks_included/brp_small.pm,0.1,Cb,None,T/O
?,5,benchmarks_included/brp_small.pm,0.1,Cb,linear_generalization,T/O
?,6,benchmarks_included/brp_small.pm,0.1,Cb,binary_generalization,T/O
?,7,benchmarks_included/brp_small.pm,0.1,Cb,exponential_generalization,T/O
?,8,benchmarks_included/brp_small.pm,0.01,Cs,None,T/O
?,9,benchmarks_included/brp_small.pm,0.01,Cs,linear_generalization,T/O
?,10,benchmarks_included/brp_small.pm,0.01,Cs,binary_generalization,T/O
?,11,benchmarks_included/brp_small.pm,0.01,Cs,exponential_generalization,T/O
?,12,benchmarks_included/brp_small.pm,0.01,Cb,None,T/O
?,13,benchmarks_included/brp_small.pm,0.01,Cb,linear_generalization,T/O
?,14,benchmarks_included/brp_small.pm,0.01,Cb,binary_generalization,T/O
?,15,benchmarks_included/brp_small.pm,0.01,Cb,exponential_generalization,T/O
?,16,benchmarks_included/brp_small.pm,0.005,Cs,None,T/O
?,17,benchmarks_included/brp_small.pm,0.005,Cs,linear_generalization,T/O
?,18,benchmarks_included/brp_small.pm,0.005,Cs,binary_generalization,T/O
?,19,benchmarks_included/brp_small.pm,0.005,Cs,exponential_generalization,T/O
?,20,benchmarks_included/brp_small.pm,0.005,Cb,None,T/O
?,21,benchmarks_included/brp_small.pm,0.005,Cb,linear_generalization,T/O
?,22,benchmarks_included/brp_small.pm,0.005,Cb,binary_generalization,T/O
?,23,benchmarks_included/brp_small.pm,0.005,Cb,exponential_generalization,T/O
?,24,benchmarks_included/chain_gigantic.pm,0.9,Cs,None,T/O
?,25,benchmarks_included/chain_gigantic.pm,0.9,Cs,linear_generalization,T/O
?,26,benchmarks_included/chain_gigantic.pm,0.9,Cs,binary_generalization,T/O
True,27,benchmarks_included/chain_gigantic.pm,0.9,Cs,exponential_generalization,1.325
?,28,benchmarks_included/chain_gigantic.pm,0.9,Cb,None,T/O
True,29,benchmarks_included/chain_gigantic.pm,0.9,Cb,linear_generalization,0.021
?,30,benchmarks_included/chain_gigantic.pm,0.9,Cb,binary_generalization,T/O
True,31,benchmarks_included/chain_gigantic.pm,0.9,Cb,exponential_generalization,1.327
?,32,benchmarks_included/chain_gigantic.pm,0.4,Cs,None,T/O
?,33,benchmarks_included/chain_gigantic.pm,0.4,Cs,linear_generalization,T/O
?,34,benchmarks_included/chain_gigantic.pm,0.4,Cs,binary_generalization,T/O
True,35,benchmarks_included/chain_gigantic.pm,0.4,Cs,exponential_generalization,1.320
?,36,benchmarks_included/chain_gigantic.pm,0.4,Cb,None,T/O
?,37,benchmarks_included/chain_gigantic.pm,0.4,Cb,linear_generalization,T/O
?,38,benchmarks_included/chain_gigantic.pm,0.4,Cb,binary_generalization,T/O
True,39,benchmarks_included/chain_gigantic.pm,0.4,Cb,exponential_generalization,1.323
?,40,benchmarks_included/chain_gigantic.pm,0.354,Cs,None,T/O
?,41,benchmarks_included/chain_gigantic.pm,0.354,Cs,linear_generalization,T/O
?,42,benchmarks_included/chain_gigantic.pm,0.354,Cs,binary_generalization,T/O
?,43,benchmarks_included/chain_gigantic.pm,0.354,Cs,exponential_generalization,T/O
?,44,benchmarks_included/chain_gigantic.pm,0.354,Cb,None,T/O
?,45,benchmarks_included/chain_gigantic.pm,0.354,Cb,linear_generalization,T/O
?,46,benchmarks_included/chain_gigantic.pm,0.354,Cb,binary_generalization,T/O
?,47,benchmarks_included/chain_gigantic.pm,0.354,Cb,exponential_generalization,T/O
?,48,benchmarks_included/chain_gigantic.pm,0.3,Cs,None,T/O
?,49,benchmarks_included/chain_gigantic.pm,0.3,Cs,linear_generalization,T/O
?,50,benchmarks_included/chain_gigantic.pm,0.3,Cs,binary_generalization,T/O
?,51,benchmarks_included/chain_gigantic.pm,0.3,Cs,exponential_generalization,T/O
